"No of Cases, Percentage, Age Specific Rate (ASPR),  Crude Incidence Rate (CIR),",,,,,,,,,,,,,,,,,,,,,,,
"Age Standardised Rate (ASR), Age Truncated Rate (35 - 64) (T.R), Cumulative Risk (0 - 74) (C.R)",,,,,,,,,,,,,,,,,,,,,,,
FEMALE  -  AGE GROUP:  0  to   75+   -  YEAR FROM : 2017 TO : 2021   - SITE :  ALL SITES      DISTRICT :All Districts,,,,,,,,,,,,,,,,,,,,,,,
ICD -10,SITE,TOTAL,%,0-4,5-9',10-14',15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,C.I.R,A.S.R,T.R,CR%
C32       ,Larynx                   ,791,0.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.2 ,0.3 ,0.8 ,0.8 ,1.1 ,1.4 ,1.3 ,1.4 ,1.5 ,0.4 ,0.3 ,0.7 ,0.038 
C33-C34   ,Lung                     ,4990,2.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.5 ,1.0 ,1.9 ,3.6 ,6.0 ,8.2 ,9.0 ,11.4 ,10.0 ,7.0 ,2.4 ,2.1 ,4.5 ,0.259 
C37-C39   ,Oth Respiratory syst     ,295,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.0 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.4 ,0.5 ,0.6 ,0.4 ,0.4 ,0.1 ,0.1 ,0.2 ,0.014 
C40-C41   ,Bone                     ,1132,0.6 ,0.2 ,0.4 ,0.9 ,1.0 ,0.5 ,0.4 ,0.3 ,0.4 ,0.4 ,0.4 ,0.6 ,0.8 ,0.8 ,1.2 ,0.8 ,0.6 ,0.6 ,0.6 ,0.5 ,0.045 
C43       ,Melanoma of Skin         ,558,0.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.2 ,0.2 ,0.3 ,0.7 ,0.7 ,1.2 ,1.1 ,1.0 ,0.8 ,0.3 ,0.2 ,0.5 ,0.028 
C44       ,Skin - others            ,1841,0.9 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.2 ,0.4 ,0.5 ,0.7 ,1.1 ,1.8 ,2.2 ,2.4 ,4.0 ,4.5 ,4.8 ,0.9 ,0.8 ,1.3 ,0.090 
C45       ,Mesothelioma             ,39,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.0 ,0.0 ,0.0 ,0.002 
C46       , Kaposi Sarcoma          ,6,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.000 
"C47, C49  ","Soft Tissue etc.,        ",1449,0.7 ,0.3 ,0.3 ,0.2 ,0.3 ,0.4 ,0.4 ,0.4 ,0.6 ,0.8 ,1.0 ,1.3 ,1.7 ,1.5 ,1.8 ,1.1 ,1.6 ,0.7 ,0.6 ,1.1 ,0.060 
C50       ,Breast                   ,54458,26.6 ,0.0 ,0.0 ,0.1 ,0.3 ,0.8 ,2.8 ,9.0 ,21.2 ,35.5 ,60.2 ,77.3 ,83.1 ,75.6 ,78.8 ,62.3 ,46.3 ,26.7 ,22.6 ,55.6 ,2.503 
C51       ,Vulva                    ,864,0.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.4 ,0.6 ,1.1 ,1.6 ,2.2 ,3.0 ,2.9 ,0.4 ,0.4 ,0.6 ,0.046 
C52       ,Vagina                   ,1156,0.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.5 ,1.1 ,1.5 ,1.7 ,2.1 ,2.6 ,2.0 ,1.7 ,0.6 ,0.5 ,1.1 ,0.059 
C53       ,Cervix                   ,32428,15.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.5 ,2.4 ,8.7 ,17.5 ,34.1 ,45.9 ,54.4 ,55.5 ,56.7 ,44.3 ,27.0 ,15.9 ,13.6 ,33.2 ,1.588 
C54       ,Corpus Uteri             ,8032,3.9 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.6 ,1.2 ,2.4 ,4.9 ,10.6 ,15.7 ,17.3 ,19.1 ,14.6 ,7.3 ,3.9 ,3.4 ,7.6 ,0.433 
C55       ,Uterus unsp.             ,858,0.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.2 ,0.2 ,0.3 ,0.7 ,1.1 ,0.8 ,1.0 ,0.8 ,1.3 ,0.9 ,0.9 ,0.4 ,0.4 ,0.8 ,0.037 
C56       ,Ovary                    ,11322,5.5 ,0.1 ,0.2 ,0.5 ,0.9 ,1.3 ,1.6 ,2.2 ,3.4 ,6.3 ,10.9 ,14.8 ,16.5 ,16.8 ,17.0 ,13.7 ,8.8 ,5.5 ,4.8 ,10.7 ,0.530 
C57       ,Oth female  Genital      ,134,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.1 ,0.2 ,0.1 ,0.1 ,0.1 ,0.1 ,0.006 
C58       ,Placenta                 ,132,0.1 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.2 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.0 ,0.004 
C64       ,Kidney                   ,1051,0.5 ,0.6 ,0.2 ,0.1 ,0.1 ,0.0 ,0.1 ,0.2 ,0.3 ,0.4 ,0.7 ,1.0 ,1.3 ,1.7 ,2.0 ,1.4 ,1.3 ,0.5 ,0.5 ,0.8 ,0.050 
C65       ,Renal Pelvis             ,11,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.000 
C66       ,Ureter                   ,48,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.0 ,0.0 ,0.0 ,0.003 
C67       ,Bladder                  ,1201,0.6 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.3 ,0.5 ,1.0 ,1.4 ,2.0 ,3.3 ,3.5 ,4.1 ,0.6 ,0.5 ,0.8 ,0.062 
C68       ,Urethera                 ,43,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.2 ,0.1 ,0.0 ,0.0 ,0.0 ,0.003 
C69       ,Eye And Adnexa           ,126,0.1 ,0.4 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.1 ,0.0 ,0.1 ,0.0 ,0.1 ,0.1 ,0.1 ,0.005 
C70-C72   ,Brain & CNS              ,2508,1.2 ,0.8 ,1.1 ,0.8 ,0.5 ,0.5 ,0.7 ,1.0 ,1.4 ,1.3 ,1.9 ,2.2 ,2.4 ,2.2 ,2.2 ,1.4 ,1.0 ,1.2 ,1.2 ,1.8 ,0.102 
C73       ,Thyroid                  ,5279,2.6 ,0.0 ,0.0 ,0.2 ,0.8 ,1.5 ,2.5 ,3.1 ,3.5 ,3.3 ,4.4 ,4.3 ,4.7 ,4.6 ,5.1 ,4.7 ,3.4 ,2.6 ,2.2 ,4.1 ,0.213 
C74       ,"Adrenal  Gland etc.,     ",207,0.1 ,0.5 ,0.3 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.008 
C75       ,Endocrine Glands         ,128,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.1 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.005 
