"No of Cases, Percentage, Age Specific Rate (ASPR),  Crude Incidence Rate (CIR),",,,,,,,,,,,,,,,,,,,,,,
"Age Standardised Rate (ASR), Age Truncated Rate (35 - 64) (T.R), Cumulative Risk (0 - 74) (C.R)",,,,,,,,,,,,,,,,,,,,,,
MALE+FEMALE  -  AGE GROUP:  0  to   75+   -  YEAR FROM : 2017 TO : 2021   - SITE :  All Sites      ALL DISTRICTS,,,,,,,,,,,,,,,,,,,,,,
District,TOTAL,%,0-4,5-9',10-14',15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,C.I.R,A.S.R,T.R,C.R
Theni,5536,0.0 ,8.1 ,7.7 ,7.3 ,9.1 ,11.1 ,16.0 ,30.4 ,46.8 ,74.8 ,120.5 ,176.8 ,218.2 ,278.7 ,298.9 ,268.4 ,207.5 ,79.7 ,68.9 ,139.5 ,7.562 
Thoothukudi,7591,0.0 ,5.7 ,7.1 ,7.9 ,9.8 ,12.4 ,13.1 ,23.8 ,48.6 ,66.5 ,125.9 ,200.6 ,247.5 ,267.3 ,287.2 ,259.8 ,199.0 ,79.3 ,69.3 ,145.4 ,7.610 
Tirunelveli,11904,0.0 ,8.0 ,7.6 ,5.5 ,9.0 ,8.9 ,12.0 ,21.4 ,41.1 ,60.3 ,110.7 ,161.3 ,206.4 ,232.0 ,262.3 ,232.8 ,194.7 ,69.8 ,60.7 ,123.6 ,6.663 
Tiruchirapalli,14245,0.0 ,9.9 ,7.2 ,6.7 ,8.1 ,13.3 ,13.0 ,30.6 ,54.1 ,84.3 ,145.9 ,193.8 ,260.8 ,289.8 ,365.7 ,342.6 ,297.8 ,94.8 ,79.7 ,157.3 ,8.725 
Tiruppur,12146,0.0 ,6.4 ,6.5 ,5.3 ,6.8 ,9.3 ,13.5 ,20.6 ,35.4 ,66.0 ,116.5 ,186.0 ,245.2 ,291.9 ,332.9 ,380.5 ,305.9 ,86.1 ,73.1 ,141.5 ,8.253 
Tiruvarur,6994,0.0 ,9.2 ,11.0 ,6.9 ,5.4 ,11.0 ,16.1 ,31.2 ,56.1 ,91.4 ,172.7 ,244.1 ,321.0 ,329.9 ,380.7 ,310.7 ,270.7 ,103.7 ,87.9 ,185.3 ,9.504 
Tiruvallur,24064,0.0 ,13.9 ,13.2 ,9.9 ,10.8 ,12.4 ,15.1 ,27.8 ,52.5 ,87.3 ,151.2 ,235.6 ,289.9 ,386.1 ,534.5 ,499.0 ,434.5 ,100.2 ,99.7 ,181.5 ,11.038 
Tiruvannamalai,10537,0.0 ,8.8 ,8.8 ,7.4 ,7.8 ,8.4 ,13.7 ,24.0 ,48.8 ,74.1 ,132.9 ,180.9 ,257.2 ,289.1 ,332.8 ,266.4 ,244.4 ,77.4 ,73.0 ,149.2 ,7.970 
Vellore,19464,0.0 ,9.9 ,12.3 ,8.2 ,7.7 ,9.9 ,15.7 ,28.0 ,56.7 ,83.9 ,145.1 ,208.5 ,251.9 ,310.5 ,440.0 ,386.7 ,382.4 ,89.2 ,86.2 ,161.5 ,9.403 
Virudhunagar,7412,0.0 ,8.7 ,9.3 ,5.7 ,10.0 ,8.7 ,12.7 ,22.3 ,41.6 ,69.8 ,116.6 ,182.3 ,226.4 ,220.1 ,239.2 ,231.5 ,185.5 ,70.0 ,62.6 ,131.2 ,6.783 
Villupuram,14900,0.0 ,8.1 ,7.4 ,6.3 ,8.0 ,8.6 ,13.1 ,26.7 ,48.6 ,83.7 ,140.4 ,190.3 ,246.5 ,273.7 ,351.4 ,284.7 ,267.4 ,75.7 ,74.6 ,150.6 ,8.137 
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,*Chennai district represents 155 divisions pertaining to old metropolitan limits only,,,,,,,,,,,,,,,,,,,,,
,*Kanchipuram district includes Chengalpattu district also,,,,,,,,,,,,,,,,,,,,,
,*Nagapattinam district includes Mayiladuthurai district also,,,,,,,,,,,,,,,,,,,,,
,*Tirunelveli district includes Tenkasi district also,,,,,,,,,,,,,,,,,,,,,
,*Vellore district includes Ranipet and Tirupattur districts also,,,,,,,,,,,,,,,,,,,,,
,*Viluppuram district includes Kallakuruchi district also,,,,,,,,,,,,,,,,,,,,,
