"No of Cases, Percentage, Age Specific Rate (ASPR),  Crude Incidence Rate (CIR),",,,,,,,,,,,,,,,,,,,,,,
"Age Standardised Rate (ASR), Age Truncated Rate (35 - 64) (T.R), Cumulative Risk (0 - 74) (C.R)",,,,,,,,,,,,,,,,,,,,,,
MALE  -  AGE GROUP:  0  to   75+   -  YEAR FROM : 2017 TO : 2021   - SITE :  All Sites      ALL DISTRICTS,,,,,,,,,,,,,,,,,,,,,,
District,TOTAL,%,0-4,5-9',10-14',15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,C.I.R,A.S.R,T.R,C.R
Theni,2505,0.0 ,9.5 ,9.7 ,6.4 ,10.0 ,10.4 ,10.9 ,23.1 ,31.1 ,49.2 ,76.3 ,137.4 ,203.6 ,301.9 ,358.7 ,333.8 ,284.5 ,72.2 ,66.3 ,117.7 ,7.559 
Thoothukudi,3516,0.0 ,6.1 ,8.6 ,9.1 ,8.7 ,10.3 ,10.6 ,18.1 ,38.0 ,48.4 ,89.7 ,167.9 ,242.1 ,296.6 ,318.6 ,324.5 ,255.4 ,73.5 ,67.6 ,130.7 ,7.675 
Tirunelveli,5540,0.0 ,8.8 ,8.9 ,5.3 ,9.8 ,8.5 ,10.2 ,16.8 ,30.3 ,46.9 ,79.4 ,131.7 ,191.5 ,251.3 ,305.0 ,277.1 ,273.6 ,65.3 ,59.7 ,108.7 ,6.675 
Tiruchirapalli,6227,0.0 ,10.5 ,8.3 ,6.9 ,9.4 ,13.0 ,11.2 ,24.7 ,36.5 ,59.7 ,98.5 ,149.5 ,208.5 ,269.3 ,387.1 ,387.2 ,409.3 ,83.9 ,72.8 ,123.4 ,8.058 
Tiruppur,5820,0.0 ,7.3 ,8.6 ,6.1 ,7.7 ,8.9 ,12.4 ,14.6 ,22.1 ,43.8 ,84.7 ,151.3 ,228.6 ,304.5 ,369.9 ,458.9 ,402.1 ,83.1 ,71.8 ,122.3 ,8.284 
Tiruvarur,3101,0.0 ,9.2 ,12.4 ,7.7 ,6.2 ,10.7 ,11.0 ,23.2 ,40.1 ,55.9 ,112.4 ,192.9 ,276.0 ,328.7 ,393.8 ,368.3 ,365.1 ,92.9 ,79.5 ,149.5 ,8.828 
Tiruvallur,11042,0.0 ,14.6 ,13.6 ,9.7 ,11.5 ,12.1 ,12.1 ,24.5 ,39.7 ,64.6 ,114.0 ,188.3 ,244.0 ,360.7 ,551.7 ,556.0 ,623.4 ,92.0 ,95.3 ,150.6 ,10.493 
Tiruvannamalai,4628,0.0 ,10.2 ,10.5 ,8.9 ,8.9 ,7.7 ,14.0 ,17.8 ,33.3 ,52.7 ,81.8 ,127.3 ,219.8 ,281.4 ,375.9 ,291.7 ,313.6 ,67.7 ,66.6 ,117.7 ,7.419 
Vellore,8240,0.0 ,11.6 ,12.4 ,9.6 ,7.4 ,10.2 ,13.7 ,21.7 ,38.7 ,54.4 ,87.6 ,142.7 ,206.1 ,275.9 ,455.3 ,454.5 ,507.9 ,76.1 ,77.5 ,120.2 ,8.614 
Virudhunagar,3291,0.0 ,9.7 ,11.1 ,5.0 ,11.6 ,9.4 ,10.7 ,20.1 ,32.3 ,42.6 ,77.9 ,141.4 ,206.9 ,225.6 ,268.1 ,267.2 ,223.7 ,62.3 ,58.0 ,108.2 ,6.479 
