"No of Cases, Percentage, Age Specific Rate (ASPR),  Crude Incidence Rate (CIR),",,,,,,,,,,,,,,,,,,,,,,
"Age Standardised Rate (ASR), Age Truncated Rate (35 - 64) (T.R), Cumulative Risk (0 - 74) (C.R)",,,,,,,,,,,,,,,,,,,,,,
FEMALE  -  AGE GROUP:  0  to   75+   -  YEAR FROM : 2017 TO : 2021   - SITE :  All Sites      ALL DISTRICTS,,,,,,,,,,,,,,,,,,,,,,
District,TOTAL,%,0-4,5-9',10-14',15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,C.I.R,A.S.R,T.R,C.R
Theni,3031,0.0 ,6.7 ,5.7 ,8.3 ,7.9 ,11.7 ,21.1 ,37.5 ,60.3 ,98.6 ,166.7 ,217.8 ,232.2 ,257.4 ,245.9 ,215.3 ,148.6 ,87.2 ,72.4 ,161.3 ,7.657 
Thoothukudi,4075,0.0 ,5.4 ,5.5 ,6.6 ,11.0 ,14.7 ,15.8 ,29.7 ,58.5 ,83.7 ,162.8 ,233.1 ,252.6 ,242.0 ,261.2 ,206.0 ,153.6 ,85.1 ,71.8 ,160.4 ,7.636 
Tirunelveli,6364,0.0 ,7.2 ,6.2 ,5.8 ,8.0 ,9.3 ,13.8 ,26.0 ,51.4 ,73.3 ,142.7 ,189.2 ,220.3 ,215.1 ,226.4 ,193.8 ,135.1 ,74.3 ,62.4 ,138.4 ,6.706 
Tiruchirapalli,8018,0.0 ,9.3 ,6.0 ,6.4 ,6.8 ,13.5 ,14.8 ,36.5 ,69.6 ,106.7 ,189.8 ,235.3 ,312.1 ,310.3 ,345.6 ,300.5 ,213.4 ,105.5 ,86.6 ,189.1 ,9.349 
Tiruppur,6326,0.0 ,5.6 ,4.5 ,4.4 ,5.8 ,9.6 ,14.5 ,26.8 ,47.6 ,87.4 ,149.4 ,222.9 ,262.1 ,279.4 ,298.5 ,306.3 ,220.0 ,89.1 ,74.9 ,160.9 ,8.264 
Tiruvarur,3893,0.0 ,9.2 ,9.5 ,6.2 ,4.5 ,11.4 ,21.0 ,39.0 ,70.0 ,122.3 ,231.1 ,294.9 ,369.9 ,331.1 ,367.3 ,254.6 ,187.1 ,114.3 ,96.0 ,220.0 ,10.156 
Tiruvallur,13022,0.0 ,13.2 ,12.7 ,10.1 ,10.1 ,12.7 ,17.9 ,31.1 ,64.9 ,110.5 ,189.0 ,284.6 ,338.5 ,413.5 ,517.8 ,443.9 ,298.9 ,108.4 ,105.5 ,213.5 ,11.620 
Tiruvannamalai,5909,0.0 ,7.3 ,7.0 ,5.9 ,6.7 ,9.1 ,13.5 ,30.9 ,63.8 ,94.4 ,181.3 ,231.8 ,292.5 ,296.6 ,294.8 ,243.3 ,181.0 ,87.0 ,79.2 ,179.1 ,8.510 
Vellore,11224,0.0 ,8.2 ,12.2 ,6.7 ,7.9 ,9.7 ,17.6 ,34.5 ,72.9 ,110.6 ,201.3 ,274.7 ,299.4 ,346.1 ,426.5 ,327.7 ,293.1 ,102.1 ,95.6 ,202.1 ,10.218 
Virudhunagar,4121,0.0 ,7.6 ,7.5 ,6.4 ,8.2 ,7.9 ,14.7 ,24.4 ,49.8 ,95.2 ,157.1 ,225.2 ,245.7 ,215.2 ,214.1 ,197.8 ,152.3 ,77.7 ,67.5 ,154.3 ,7.118 
